Classification report
,precision,recall,f1-score,support
1,1.0,1.0,1.0,4.0
2,1.0,0.8,0.8888888888888888,5.0
3,0.7142857142857143,1.0,0.8333333333333334,5.0
4,0.8,0.8,0.8,5.0
5,1.0,0.8,0.8888888888888888,5.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,29.0
8,1.0,1.0,1.0,44.0
9,1.0,1.0,1.0,50.0
10,1.0,1.0,1.0,5.0
11,1.0,1.0,1.0,5.0
12,0.8333333333333334,1.0,0.9090909090909091,5.0
13,1.0,0.8,0.8888888888888888,5.0
accuracy,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116
macro avg,0.9498168498168499,0.9384615384615386,0.9391608391608391,172.0
weighted avg,0.9810354374307861,0.9767441860465116,0.9770084566596193,172.0

Accuracy Score
Metric,Score
Accuracy,0.9767441860465116
Training Accuracy,0.998546511627907
