Classification report
,precision,recall,f1-score,support
1,1.0,1.0,1.0,4.0
2,1.0,1.0,1.0,5.0
3,0.8333333333333334,1.0,0.9090909090909091,5.0
4,0.8,0.8,0.8,5.0
5,1.0,0.8,0.8888888888888888,5.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,29.0
8,1.0,1.0,1.0,44.0
9,1.0,1.0,1.0,50.0
10,1.0,1.0,1.0,5.0
11,1.0,1.0,1.0,5.0
12,0.8333333333333334,1.0,0.9090909090909091,5.0
13,1.0,0.8,0.8888888888888888,5.0
accuracy,0.9825581395348837,0.9825581395348837,0.9825581395348837,0.9825581395348837
macro avg,0.958974358974359,0.9538461538461539,0.9535353535353536,172.0
weighted avg,0.9844961240310078,0.9825581395348837,0.982440685929058,172.0

Accuracy Score
Metric,Score
Accuracy,0.9825581395348837
Training Accuracy,0.998546511627907
