Classification report
,precision,recall,f1-score,support
1,1.0,1.0,1.0,4.0
2,1.0,0.8,0.8888888888888888,5.0
3,0.8333333333333334,1.0,0.9090909090909091,5.0
4,1.0,1.0,1.0,5.0
5,1.0,1.0,1.0,5.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,29.0
8,1.0,1.0,1.0,44.0
9,1.0,1.0,1.0,50.0
10,1.0,1.0,1.0,5.0
11,1.0,1.0,1.0,5.0
12,0.8333333333333334,1.0,0.9090909090909091,5.0
13,1.0,0.8,0.8888888888888888,5.0
accuracy,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9883720930232558
macro avg,0.9743589743589745,0.9692307692307693,0.9689199689199689,172.0
weighted avg,0.9903100775193799,0.9883720930232558,0.9882546394174301,172.0

Accuracy Score
Metric,Score
Accuracy,0.9883720930232558
Training Accuracy,1.0
